ZdAId	ZdAName	ZdATown	ZdAPostalRegion
49672	Place Sydney Béchet	Goussainville	95280
49583	Place Gambetta	Noisy-sur-Oise	95456
461703	Place du pothuis	Beaumont-sur-Oise	95052
52103	Place de la Paix	Versailles	78646
49103	Place de la République	Bois-d'Arcy	78073
52018	Carrefour de Jumeauville / Place Bieuville	Goupillières	78278
48931	Pierre De Coubertin	Taverny	95607
48592	Pershing	Versailles	78646
412310	Perdreau	Bois-d'Arcy	78073
44267	Passy	Villebéon	77500
427762	Pacaudière	Villiers-Saint-Frédéric	78683
48564	Odéon - Lycée professionnel Jean Moulin	Le Chesnay	78158
56295	Noue Brossard	Chelles	77108
48591	Normandie	Versailles	78646
49097	Navarre	Beynes	78062
46860	Mortemai	Beynes	78062
48427	Molière	Viry-Châtillon	91687
49954	Meun	Achères-la-Forêt	77001
59361	Mediathèque	Goussainville	95280
56226	Margotins	Ozoir-la-Ferrière	77350
56338	Marcel Paul	Vaires-sur-Marne	77479
54967	Malassis	Forges-les-Bains	91249
48782	Mairie	Pecqueuse	91482
461653	Mairie	Cires-lès-Mello	60155
53650	Mairie	Bruyères-sur-Oise	95116
43984	Mairie	Dammartin-en-Goële	77153
49911	Mairie	Villenauxe-la-Petite	77507
49961	Mairie	Boulancourt	77046
51786	Madeleine - Louvet	L'Isle-Adam	95313
56238	Lycée Claudel	Pontault-Combault	77373
48655	Longchêne Place	Bullion	78120
